2023-09-20/16:10:20		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/15:10:55		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/15:10:57		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/15:10:57		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/15:12:45		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/15:12:46		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/15:12:46		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/15:12:47		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/15:12:47		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/15:12:48		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/15:12:48		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/15:12:49		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/15:12:49		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/15:13:30		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/15:13:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/15:13:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/15:13:31		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/15:13:32		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/15:13:32		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/15:13:33		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/15:13:33		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/15:13:33		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/15:19:52		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/15:19:52		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/15:19:53		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/15:19:53		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/15:19:54		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/15:19:54		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/15:19:55		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/15:19:56		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/15:19:56		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/15:21:12		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/15:21:12		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/15:21:13		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/15:21:13		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/15:21:13		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/15:21:14		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/15:21:14		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/15:21:15		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/15:21:15		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/16:20:57		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/16:20:57		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/16:20:57		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/16:20:58		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/16:20:58		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/16:20:58		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/16:21:00		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/16:21:01		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/16:21:01		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/16:21:23		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/16:21:24		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/16:21:24		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/16:21:24		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/16:21:24		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/16:21:25		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/16:21:26		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/16:21:27		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/16:21:27		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/16:21:59		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/16:21:59		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/16:22:00		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/16:22:00		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/16:22:00		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/16:22:01		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/16:22:02		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/16:22:02		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/16:22:02		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/16:24:40		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/16:24:40		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/16:24:40		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/16:24:41		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/16:24:41		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/16:24:42		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/16:24:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/16:24:43		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/16:24:44		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/16:25:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/16:25:39		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/16:25:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/16:25:39		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/16:25:40		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/16:25:40		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/16:25:40		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/16:25:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/16:25:41		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/16:27:44		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/16:27:44		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/16:27:45		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/16:27:45		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/16:27:45		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/16:27:46		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/16:27:47		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/16:27:47		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/16:27:47		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/16:29:06		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/16:29:07		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/16:29:07		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/16:29:07		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/16:29:08		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/16:29:08		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/16:29:09		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/16:29:09		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/16:29:09		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/16:29:57		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/16:29:58		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/16:29:58		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/16:29:58		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/16:29:59		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/16:29:59		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/16:30:01		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/16:30:01		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/16:30:01		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/16:30:22		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/16:30:22		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/16:30:22		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/16:30:23		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/16:30:23		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/16:30:23		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/16:30:24		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/16:30:24		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/16:30:25		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/16:30:43		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/16:30:44		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/16:30:44		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/16:30:44		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/16:30:45		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/16:30:45		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/16:30:45		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/16:30:46		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/16:30:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/16:31:10		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/16:31:11		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/16:31:11		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/16:31:11		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/16:31:12		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/16:31:12		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/16:31:12		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/16:31:13		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/16:31:13		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/16:33:05		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/16:33:06		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/16:33:06		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/16:33:06		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/16:33:07		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/16:33:07		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/16:33:08		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/16:33:09		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/16:33:09		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/16:34:05		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/16:34:06		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/16:34:06		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/16:34:06		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/16:34:07		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/16:34:07		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/16:34:08		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/16:34:08		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/16:34:09		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/16:36:57		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/16:36:57		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/16:36:57		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/16:36:57		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/16:36:58		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/16:36:58		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/16:36:59		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/16:37:00		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/16:37:00		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/16:40:01		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/16:40:02		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/16:40:02		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/16:40:02		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/16:40:03		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/16:40:03		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/16:40:05		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/16:40:06		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/16:40:06		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/17:32:20		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/17:32:20		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/17:32:20		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/17:32:21		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/17:32:21		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/17:32:21		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/17:32:23		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/17:32:24		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/17:32:24		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/17:34:23		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/17:34:23		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/17:34:24		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/17:34:24		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/17:34:24		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/17:34:25		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/17:34:25		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/17:34:26		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/17:34:26		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/17:37:00		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/17:37:00		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/17:37:00		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/17:37:01		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/17:37:01		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/17:37:01		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/17:37:02		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/17:37:03		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/17:37:03		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/17:42:57		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/17:42:57		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/17:42:58		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/17:42:58		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/17:42:58		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/17:42:59		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/17:43:00		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/17:43:00		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/17:43:01		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/17:43:50		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/17:43:50		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/17:43:51		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/17:43:51		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/17:43:51		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/17:43:52		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/17:43:53		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/17:43:54		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/17:43:54		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/17:49:17		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/17:49:18		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/17:49:18		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/17:49:18		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/17:49:19		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/17:49:19		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/17:49:20		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/17:49:20		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/17:49:20		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/17:51:23		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/17:51:24		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/17:51:24		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/17:51:24		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/17:51:25		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/17:51:25		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/17:51:27		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/17:51:27		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/17:51:27		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/17:53:24		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/17:53:24		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/17:53:24		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/17:53:25		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/17:53:25		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/17:53:25		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/17:53:26		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/17:53:26		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/17:53:26		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/17:54:14		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/17:54:15		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/17:54:15		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/17:54:15		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/17:54:16		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/17:54:16		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/17:54:16		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/17:54:17		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/17:54:17		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/17:55:27		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/17:55:28		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/17:55:28		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/17:55:28		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/17:55:29		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/17:55:29		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/17:55:30		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/17:55:30		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/17:55:30		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/17:56:13		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/17:56:13		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/17:56:13		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/17:56:14		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/17:56:14		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/17:56:14		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/17:56:15		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/17:56:16		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/17:56:16		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/18:01:03		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/18:01:04		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/18:01:04		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/18:01:04		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/18:01:05		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/18:01:05		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/18:01:06		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/18:01:06		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/18:01:07		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/18:23:26		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/18:23:27		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/18:23:27		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/18:23:27		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/18:23:27		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/18:23:28		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/18:23:29		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/18:23:30		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/18:23:30		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/18:24:49		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/18:24:49		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/18:24:50		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/18:24:50		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/18:24:51		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/18:24:51		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/18:24:52		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/18:24:53		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/18:24:53		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/18:26:24		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/18:26:24		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/18:26:24		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/18:26:25		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/18:26:25		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/18:26:25		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/18:26:27		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/18:26:27		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/18:26:27		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/18:29:02		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/18:29:03		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/18:29:03		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/18:29:03		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/18:29:04		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/18:29:04		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/18:29:05		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/18:29:06		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/18:29:06		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/18:29:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/18:29:34		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/18:29:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/18:29:35		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/18:29:35		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/18:29:36		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/18:29:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/18:29:37		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/18:29:37		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/18:30:47		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/18:30:47		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/18:30:47		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/18:30:48		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/18:30:48		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/18:30:48		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/18:30:49		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/18:30:50		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/18:30:50		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/18:32:00		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/18:32:00		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/18:32:01		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/18:32:01		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/18:32:01		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/18:32:02		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/18:32:03		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/18:32:04		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/18:32:04		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/18:32:52		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/18:32:52		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/18:32:52		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/18:32:52		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/18:32:53		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/18:32:53		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/18:32:54		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/18:32:54		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/18:32:54		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/18:37:07		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/18:37:08		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/18:37:08		 wafer_20022020_090716.csv: File Transformed successfully!!
